NUPATRIMONIO	SITUACAO	MARCA	CDLOCAL	MODELO	COR	DTAQUISICAO	DEHISTORICO	CDMATRFUNCIONARIO	CDPROJETO	USUARIO	DTOPERACAO	NUMOF	CODOBJETO	FLCONFERIDO
16286	Á DISPOSIÇÃO		1645			<null>		133838	877	RYAN	07/11/2024	47361	390	N
16287	EM USO	CADEIRA DE ESCRITORIO	1			<null>		133838	877	BEA.SC	28/08/2025	47361	245	N
16288	EM USO		2049			<null>	FATURAMENTO - A DISPOSIÇÃO	133838	8	BEA.SC	11/11/2025	44136	390	N
16290	EM USO		2059			<null>	SALA COMERCIAL	133838	8	BEA.SC	01/12/2025	44136	390	S
16291	Á DISPOSIÇÃO		2059			<null>	SALA COMERCIAL	133838	8	BEA.SC	02/12/2025	44136	390	S
16292	Á DISPOSIÇÃO		1645			<null>		133838	877	RYAN	07/11/2024	47361	390	N
16294	EM USO		2049			<null>	FATURAMENTO - ALINE	133838	8	BEA.SC	07/11/2025	44136	390	N
16295	EM USO		2056			<null>		133838	999914	BEA.SC	21/11/2025	<null>	390	S
16296	EM USO		2056			<null>		133838	999914	BEA.SC	24/11/2025	<null>	390	S
16297	Á DISPOSIÇÃO		1645			<null>		133838	877	RYAN	07/11/2024	47361	390	N
16299	Á DISPOSIÇÃO		1645			<null>		133838	877	RYAN	07/11/2024	47361	390	N
16300	Á DISPOSIÇÃO		1645			<null>		133838	877	RYAN	07/11/2024	47361	390	N
16301	EM USO		1975			<null>	JURIDICO	133838	8	BEA.SC	13/11/2025	44136	390	N
16306	Á DISPOSIÇÃO		2059			<null>	SALA COMERCIAL	133838	8	BEA.SC	02/12/2025	44136	390	S
16307	Á DISPOSIÇÃO		2059			<null>	SALA COMERCIAL	133838	8	BEA.SC	01/12/2025	<null>	390	S
16309	EM USO		2050			<null>	TATI GOIS	133838	8	BEA.SC	11/11/2025	<null>	390	N
16310	EM USO		1431			<null>	DEPARTAMENTO PESSOAL	133838	200	RYAN	24/09/2024	45608	390	N
16312	Á DISPOSIÇÃO		1645			<null>		133838	877	RYAN	07/11/2024	47361	390	N
16317	EM USO		2034			1899-12-30		133838	8	BEA.SC	16/10/2025	<null>	390	N
16319	EM USO		1967			<null>	PUXADINHO - MATHEUS	185895	8	BEA.SC	14/11/2025	44136	390	N
16322	EM USO		2042			<null>	CONTABILIDADE - ROSANA	133838	8	BEA.SC	23/10/2025	44136	390	N
16323	Á DISPOSIÇÃO		2038			<null>	SALA ANDRÉ	133838	8	BEA.SC	29/10/2025	<null>	<null>	N
16325	EM USO		1967			<null>	PUXADINHO - SILMARA	133838	8	BEA.SC	14/11/2025	44136	390	N
16327	EM USO		2056			<null>		133838	999914	BEA.SC	21/11/2025	<null>	390	S
16329	EM USO		1967			<null>	PUXADINHO - RENATO	133838	8	BEA.SC	14/11/2025	44136	390	N
16330	Á DISPOSIÇÃO		1645			<null>		133838	877	RYAN	07/11/2024	47361	389	N
16331	Á DISPOSIÇÃO		1			<null>	ESTOQUE	133838	100001	BEA.SC	03/12/2025	44136	245	N
16332	EM USO		1			<null>		133838	100001	BEA.SC	03/12/2025	44136	390	N
16335	EM USO		3			<null>		133838	530	RYAN	28/06/2024	44136	390	N
16336	Á DISPOSIÇÃO		1645			<null>		133838	877	RYAN	07/11/2024	47361	390	N
16337	EM USO		2049			<null>	FATURAMENTO - ARAÚJO	133838	8	BEA.SC	11/11/2025	44136	390	N
16338	EM USO		1968			<null>	DEPARTAMENTO PESSOAL - ANA LAURA	133838	8	BEA.SC	13/11/2025	<null>	390	N
16342	Á DISPOSIÇÃO		1645			<null>		133838	877	RYAN	07/11/2024	47361	390	N
16343	EM USO		1969			<null>	STI - LUIS	133838	8	BEA.SC	04/11/2025	44136	390	N
16344	EM USO		2056			<null>		133838	999914	BEA.SC	24/11/2025	<null>	390	S
16345	EM USO		2031			<null>		194408	8	BEA.SC	15/10/2025	44136	390	N
16346	EM USO		1968			<null>	DEPARTAMENTO PESSOAL - RAYSSA	133838	8	BEA.SC	14/11/2025	44136	390	N
16347	Á DISPOSIÇÃO		1645			<null>		133838	877	RYAN	07/11/2024	47361	390	N
16348	EM USO		2049			<null>	FATURAMENTO LINA	133838	8	BEA.SC	11/11/2025	<null>	390	N
16349	EM USO		2031			1899-12-30		133838	8	BEA.SC	15/10/2025	<null>	390	N
16350	Á DISPOSIÇÃO		1645			<null>		133838	877	RYAN	07/11/2024	47361	390	N
16351	EM USO		1967			<null>	PUXADINHO - JOVEM APRENDIZ	133838	8	BEA.SC	14/11/2025	44136	390	N
16352	Á DISPOSIÇÃO		1645			<null>		133838	877	RYAN	07/11/2024	47361	390	N
16353	EM USO		1431			<null>	VESTIÁRIO	133838	200	RYAN	31/07/2024	45608	390	N
16355	Á DISPOSIÇÃO		1645			<null>		133838	877	RYAN	07/11/2024	47361	390	N
16356	Á DISPOSIÇÃO		1434			<null>		133838	750	RYAN	08/11/2024	47361	390	N
16357	EM USO		1967			<null>	MATRIZ RH - JULIA	133838	8	BEA.SC	17/11/2025	44136	390	N
16358	Á DISPOSIÇÃO		2059			<null>	SALA COMERCIAL	133838	8	BEA.SC	02/12/2025	<null>	390	S
16359	Á DISPOSIÇÃO		1645			<null>		133838	877	RYAN	07/11/2024	45523	390	N
16360	EM USO		1			<null>		133838	100001	BEA.SC	03/12/2025	44136	390	N
16361	Á DISPOSIÇÃO		1645			<null>		133838	877	RYAN	07/11/2024	47361	390	N
16362	EM USO		2049			<null>	MARIZETE	133838	8	BEA.SC	11/11/2025	44136	390	N
16365	EM USO		2020			<null>	FINANCEIRO - KELLY	133838	8	BEA.SC	06/11/2025	<null>	390	N
16367	EM USO		2034			<null>		80441	8	BEA.SC	16/10/2025	<null>	390	N
16369	EM USO		2050			<null>	CONTA VINCULADA - CAROLINE	133838	8	BEA.SC	11/11/2025	44136	390	N
16370	Á DISPOSIÇÃO		1434			<null>		133838	750	RYAN	08/11/2024	47361	933	N
16371	EM USO		1431			<null>	VESTIÁRIO	133838	200	RYAN	31/07/2024	45608	390	N
16373	EM USO		1968			<null>	DEPARTAMENTO PESSOAL - DAIANE	185895	8	BEA.SC	13/11/2025	44136	390	N
16374	Á DISPOSIÇÃO		1645			<null>		133838	877	RYAN	07/11/2024	47361	390	N
16375	EM USO		1645			<null>		133838	877	BEA.SC	28/08/2025	47361	390	N
16376	Á DISPOSIÇÃO		1645			<null>		133838	877	RYAN	07/11/2024	47361	390	N
16377	Á DISPOSIÇÃO		1645			<null>		133838	877	RYAN	07/11/2024	47361	390	N
16378	EM USO		1645			<null>		133838	877	BEA.SC	28/08/2025	47361	390	N
16379	Á DISPOSIÇÃO		1434			<null>		133838	750	RYAN	08/11/2024	47361	390	N
16380	EM USO		2042			<null>	CONTABILIDADE - GABRIELLA	133838	8	BEA.SC	23/10/2025	44136	390	N
16385	EM USO		2034			<null>		133838	8	BEA.SC	16/10/2025	44136	390	N
16387	Á DISPOSIÇÃO		1645			<null>		133838	877	RYAN	07/11/2024	47361	390	N
16389	Á DISPOSIÇÃO		1645			<null>		133838	877	RYAN	07/11/2024	47361	390	N
16390	Á DISPOSIÇÃO		1645			<null>		133838	877	RYAN	07/11/2024	47361	390	N
16391	EM USO		2049			<null>	FATURAMENTO - DIEGO	133838	8	BEA.SC	11/11/2025	44136	390	N
16396	Á DISPOSIÇÃO		2059			<null>	SALA COMERCIAL	133838	8	BEA.SC	02/12/2025	<null>	390	S
16398	Á DISPOSIÇÃO		1645			<null>		133838	877	RYAN	07/11/2024	47361	390	N
16399	Á DISPOSIÇÃO		1645			<null>		133838	877	RYAN	07/11/2024	47361	390	N
16400	Á DISPOSIÇÃO		1645			<null>		133838	877	RYAN	07/11/2024	47361	390	N
16401	Á DISPOSIÇÃO		1645			<null>		133838	877	RYAN	07/11/2024	47361	390	N
16402	EM USO		2049			<null>	FATURAMENTO - RICARDO	133838	8	BEA.SC	11/11/2025	44136	390	N
16403	EM USO		1968			<null>	DEPARTAMENTO PESSOAL - FRANCYNEIDE	133838	8	BEA.SC	14/11/2025	44136	390	N
16404	EM USO		2034			<null>		133838	8	BEA.SC	16/10/2025	<null>	390	N
16466	Á DISPOSIÇÃO		1645			<null>		133838	877	RYAN	07/11/2024	47361	930	N
16471	Á DISPOSIÇÃO	MULTILASER	1434			<null>	VEIO DO PROJETO 661	133838	750	RYAN	08/11/2024	47361	905	N
16472	EM USO	MULTILASER	1645			<null>		133838	877	RYAN	07/11/2024	47361	905	N
16499	Á DISPOSIÇÃO		1434			<null>		133838	750	RYAN	08/11/2024	47361	390	N
16501	EM USO		4			<null>	SEGURANÇA DO TRABALHO	10413	8	BEA.SC	17/10/2025	44136	390	N
16502	Á DISPOSIÇÃO		1645			<null>		133838	877	RYAN	07/11/2024	47361	390	N
16504	EM USO		1967			<null>	CONTROLADORIA - FELIPE	133838	8	BEA.SC	17/11/2025	44136	390	N
16506	Á DISPOSIÇÃO		1645			<null>		133838	877	RYAN	07/11/2024	47361	390	N
16507	EM USO		1			<null>		185895	571	BEA.SC	05/09/2025	44136	390	N
16508	Á DISPOSIÇÃO		1434			<null>		133838	750	RYAN	07/11/2024	47361	390	N
16509	Á DISPOSIÇÃO		1645			<null>		133838	877	RYAN	07/11/2024	47361	390	N
16510	Á DISPOSIÇÃO		2059			<null>	SALA COMERCIAL	133838	8	BEA.SC	02/12/2025	<null>	390	S
16513	EM USO		1431			<null>	DEPARTAMENTO PESSOAL	133838	200	RYAN	31/07/2024	45608	390	N
16515	EM USO		1967			<null>	PUXADINHO - WESLEY	133838	8	BEA.SC	14/11/2025	<null>	390	N
16516	Á DISPOSIÇÃO		1645			<null>		133838	877	RYAN	07/11/2024	47361	390	N
16517	EM USO		2031			<null>	SETOR DE COMPRAS	110963	8	BEA.SC	15/10/2025	44136	390	N
16518	Á DISPOSIÇÃO		1645			<null>		133838	877	RYAN	07/11/2024	47361	390	N
16520	Á DISPOSIÇÃO		1434			<null>		133838	750	RYAN	07/11/2024	47361	390	N
16521	Á DISPOSIÇÃO		1645			<null>		133838	877	RYAN	07/11/2024	47361	390	N
16523	Á DISPOSIÇÃO		2053			<null>	SALA COMERCIAL	133838	8	BEA.SC	02/12/2025	44136	390	S
16525	Á DISPOSIÇÃO		1645			<null>		133838	877	RYAN	07/11/2024	47361	390	N
16527	Á DISPOSIÇÃO		1434			<null>		133838	750	RYAN	07/11/2024	47361	390	N
16528	Á DISPOSIÇÃO		1645			<null>		133838	877	RYAN	07/11/2024	47361	390	N
16529	Á DISPOSIÇÃO		1645			<null>		133838	877	RYAN	07/11/2024	47361	390	N
16530	EM USO		1431			<null>	VESTIÁRIO	133838	200	RYAN	31/07/2024	45608	390	N
16531	Á DISPOSIÇÃO		1645			<null>		133838	877	RYAN	07/11/2024	47361	390	N
16534	Á DISPOSIÇÃO		1645			<null>		133838	877	RYAN	07/11/2024	47361	390	N
16536	Á DISPOSIÇÃO		1645			<null>		133838	877	RYAN	07/11/2024	47361	390	N
16537	EM USO		1967			<null>	RH - PATRICK	133838	8	BEA.SC	14/11/2025	44136	245	N
16541	Á DISPOSIÇÃO		1645			<null>		133838	877	RYAN	07/11/2024	47361	390	N
16543	Á DISPOSIÇÃO		1434			<null>		133838	750	RYAN	07/11/2024	47361	390	N
16544	Á DISPOSIÇÃO		1645			<null>		133838	877	RYAN	07/11/2024	47361	390	N
16546	Á DISPOSIÇÃO		1645			<null>		133838	877	RYAN	29/10/2024	45523	390	N
16547	EM USO		2050			<null>	CONTA VINCULADA - GIOVANA	133838	8	BEA.SC	11/11/2025	44136	390	N
16548	EM USO		2049			<null>	FATURAMENTO - VALERIA	133838	8	BEA.SC	11/11/2025	44136	390	N
16549	Á DISPOSIÇÃO		1645			<null>		133838	877	RYAN	07/11/2024	47361	390	N
16550	EM USO		1967			<null>	RH - INARA	133838	8	BEA.SC	14/11/2025	44136	390	N
16551	EM USO		1968			<null>	MATRIZ RH - JANAINA	133838	8	BEA.SC	14/11/2025	44136	390	N
16552	EM USO		1			<null>		185895	571	BEA.SC	05/09/2025	<null>	390	N
16556	EM USO		2059			<null>	SALA COMERCIAL	133838	8	BEA.SC	01/12/2025	<null>	390	S
16557	EM USO		4			<null>		133838	8	BEA.SC	20/10/2025	44136	390	N
16558	Á DISPOSIÇÃO		1645			<null>		133838	877	RYAN	07/11/2024	47361	390	N
16559	Á DISPOSIÇÃO		1645			<null>		133838	877	RYAN	07/11/2024	47361	390	N
16560	Á DISPOSIÇÃO		1434			<null>		133838	750	RYAN	07/11/2024	47361	933	N
16561	Á DISPOSIÇÃO		1645			<null>		133838	877	RYAN	07/11/2024	47361	390	N
16563	EM USO		1431			<null>	VESTIÁRIO	133838	200	RYAN	31/07/2024	45608	390	N
16564	Á DISPOSIÇÃO		1645			<null>		133838	877	RYAN	07/11/2024	47361	390	N
16567	Á DISPOSIÇÃO		1645			<null>		133838	877	RYAN	07/11/2024	47361	390	N
16568	Á DISPOSIÇÃO		1645			<null>		133838	877	RYAN	07/11/2024	47361	390	N
16569	Á DISPOSIÇÃO		1645			<null>		133838	877	RYAN	07/11/2024	47361	390	N
16570	EM USO		2031			<null>	CONTROLADORIA	178574	8	BEA.SC	15/10/2025	44136	390	N
16572	Á DISPOSIÇÃO		1645			<null>		133838	877	RYAN	07/11/2024	47361	390	N
16573	Á DISPOSIÇÃO		1645			<null>		133838	877	RYAN	07/11/2024	47361	390	N
16574	Á DISPOSIÇÃO		1645			<null>		133838	877	RYAN	07/11/2024	47361	390	N
16575	Á DISPOSIÇÃO		1645			<null>		133838	877	RYAN	07/11/2024	47361	390	N
16576	Á DISPOSIÇÃO		1645			<null>		133838	877	RYAN	07/11/2024	47361	389	N
16577	Á DISPOSIÇÃO		1645			<null>		133838	877	RYAN	07/11/2024	47361	390	N
16580	Á DISPOSIÇÃO		1645			<null>		133838	877	RYAN	07/11/2024	47361	390	N
16583	Á DISPOSIÇÃO		1969			<null>	STI	133838	8	BEA.SC	31/10/2025	44136	390	N
16585	Á DISPOSIÇÃO		1645			<null>		133838	877	RYAN	07/11/2024	47361	390	N
16587	Á DISPOSIÇÃO		1434			<null>		133838	750	RYAN	07/11/2024	47361	390	N
16588	Á DISPOSIÇÃO		1645			<null>		133838	877	RYAN	07/11/2024	47361	390	N
16591	EM USO		2031			<null>		134616	8	BEA.SC	14/10/2025	<null>	390	N
16592	Á DISPOSIÇÃO		1645			<null>		133838	877	RYAN	29/10/2024	45523	390	N
16595	EM USO		1645			<null>		133838	877	BEA.SC	28/08/2025	47361	245	N
16598	Á DISPOSIÇÃO		1645			<null>		133838	877	RYAN	07/11/2024	47361	390	N
16599	Á DISPOSIÇÃO		1434			<null>		133838	750	RYAN	07/11/2024	47361	390	N
16600	Á DISPOSIÇÃO		1645			<null>		133838	877	RYAN	07/11/2024	47361	390	N
16601	EM USO		4			<null>		133838	8	BEA.SC	20/10/2025	<null>	390	N
16603	Á DISPOSIÇÃO		1645			<null>	OC DE CONSERTO	133838	877	RYAN	29/10/2024	47273	390	N
16604	EM USO		2056			<null>		133838	999914	BEA.SC	21/11/2025	<null>	390	S
16607	Á DISPOSIÇÃO		1645			<null>		133838	877	RYAN	07/11/2024	47361	389	N
16608	EM USO		1			<null>		185895	571	BEA.SC	05/09/2025	44136	390	N
16615	Á DISPOSIÇÃO	INTELBRAS	1645			<null>		133838	877	RYAN	07/11/2024	47361	485	N
16616	Á DISPOSIÇÃO	DELL	1645			<null>		133838	877	RYAN	07/11/2024	47361	554	N
16619	Á DISPOSIÇÃO		1645			<null>		133838	877	RYAN	01/11/2024	47361	964	N
16622	EM USO	DELL	1431			<null>	SALA II	133838	200	RYAN	31/07/2024	45608	479	N
16624	EM USO	EPSON	1429	S18		<null>	OC DE MANUTENÇÃO 52758	133838	721	RYAN	23/07/2025	45507	694	N
16626	EM USO		1	PARA 18 CAMERAS		<null>		133838	100001	TEIXEIRA	07/06/2019	<null>	<null>	S
16627	Á DISPOSIÇÃO		1645			<null>		133838	877	RYAN	01/11/2024	47361	315	N
16629	Á DISPOSIÇÃO	DELL	1645			<null>		133838	877	RYAN	07/11/2024	47361	554	N
16630	Á DISPOSIÇÃO	DELL	1645			<null>		133838	877	RYAN	07/11/2024	47361	920	N
16632	Á DISPOSIÇÃO		1645			<null>		133838	877	RYAN	01/11/2024	47361	315	N
16637	Á DISPOSIÇÃO		1645			<null>		133838	877	RYAN	01/11/2024	47361	952	N
16638	Á DISPOSIÇÃO		1645			<null>		133838	877	RYAN	01/11/2024	47361	958	N
16640	Á DISPOSIÇÃO	DELL	1645			<null>		133838	877	RYAN	07/11/2024	47361	554	N
16643	EM USO	DELL	1			<null>		133838	195	RYAN	09/08/2024	44233	672	N
16645	Á DISPOSIÇÃO	DELL	1645			<null>		133838	877	RYAN	07/11/2024	47361	667	N
16646	EM USO	DELL	1429			<null>		133838	721	RYAN	24/07/2024	45507	554	N
16647	Á DISPOSIÇÃO		1645			<null>		133838	877	RYAN	01/11/2024	47361	330	N
16648	Á DISPOSIÇÃO	DELL	1645			<null>		133838	877	RYAN	07/11/2024	47361	667	N
16649	EM USO	DELL	1429			<null>		133838	721	RYAN	25/07/2024	45507	554	N
16651	Á DISPOSIÇÃO	INTELBRAS	1645			<null>		133838	877	RYAN	07/11/2024	47361	908	N
16652	Á DISPOSIÇÃO	DELL	1645			<null>		133838	877	RYAN	07/11/2024	47361	667	N
16655	Á DISPOSIÇÃO	SOFT STAR	2059			<null>	SALA COMERCIAL	133838	8	BEA.SC	02/12/2025	<null>	1278	S
16656	EM USO	LG	1429			<null>		133838	721	RYAN	25/07/2024	45507	574	N
16664	EM USO	CONSUL	1645			<null>		133838	877	RYAN	29/01/2025	47361	1066	N
16665	EM USO	CONSUL	1645			<null>		133838	877	RYAN	29/01/2025	47361	1066	N
16666	EM USO	CONSUL	1645			<null>		133838	877	RYAN	29/01/2025	47361	1066	N
16669	EM USO	DELL	1429			<null>		133838	721	RYAN	24/07/2024	45507	554	N
16673	Á DISPOSIÇÃO		1434			<null>		133838	750	RYAN	01/11/2024	47361	955	N
16678	EM USO	DELL	1			<null>		133838	195	RYAN	09/08/2024	44233	672	N
16679	Á DISPOSIÇÃO		1434			<null>		133838	750	RYAN	01/11/2024	47361	953	N
16680	EM USO	DELL	1429			<null>		133838	721	RYAN	24/07/2024	45507	554	N
16681	Á DISPOSIÇÃO	DELL	1645			<null>		133838	877	RYAN	07/11/2024	47361	667	N
16683	Á DISPOSIÇÃO	DELL	1645			<null>		133838	877	RYAN	07/11/2024	47361	667	N
16684	Á DISPOSIÇÃO	DELL	1645			<null>		133838	877	RYAN	07/11/2024	47361	554	N
16689	Á DISPOSIÇÃO	DELL	1645			<null>		133838	877	RYAN	07/11/2024	47361	667	N
16694	EM USO	DELL	2042			<null>	CONTABILIDADE - ROSANA	133838	8	BEA.SC	23/10/2025	44136	402	N
16696	Á DISPOSIÇÃO		1645			<null>		133838	877	RYAN	01/11/2024	47361	930	N
16704	Á DISPOSIÇÃO	DELL	1645			<null>		133838	877	RYAN	07/11/2024	47361	554	N
16705	Á DISPOSIÇÃO		1645			<null>		133838	877	RYAN	31/10/2024	47361	930	N
16707	EM USO	DELL	1429			<null>		133838	721	RYAN	24/07/2024	45507	554	N
16712	Á DISPOSIÇÃO	DELL	1645			<null>		133838	877	RYAN	07/11/2024	47361	667	N
16715	Á DISPOSIÇÃO		1434			<null>		133838	750	RYAN	01/11/2024	47361	955	N
16717	Á DISPOSIÇÃO	DELL	1645			<null>		133838	877	RYAN	07/11/2024	47361	554	N
16721	Á DISPOSIÇÃO	DELL	1645			<null>		133838	877	RYAN	07/11/2024	47361	667	N
16722	Á DISPOSIÇÃO	DELL	1645			<null>		133838	877	RYAN	07/11/2024	47361	554	N
16723	Á DISPOSIÇÃO		1645			<null>		133838	877	RYAN	01/11/2024	47361	930	N
16732	EM USO	DELL	1			<null>		133838	195	RYAN	09/08/2024	44233	667	N
16734	Á DISPOSIÇÃO	DELL	1645			<null>		133838	877	RYAN	07/11/2024	47361	667	N
16735	Á DISPOSIÇÃO	DELL	1645			<null>		133838	877	RYAN	07/11/2024	47361	554	N
16739	Á DISPOSIÇÃO	TOSHIBA	1645			<null>		133838	877	RYAN	11/11/2024	47361	977	N
16741	Á DISPOSIÇÃO	DELL	1645			<null>		133838	877	RYAN	07/11/2024	47361	554	N
16744	Á DISPOSIÇÃO		1434			<null>		133838	750	RYAN	01/11/2024	47361	955	N
16746	Á DISPOSIÇÃO		1434			<null>		133838	750	RYAN	01/11/2024	47361	955	N
16747	Á DISPOSIÇÃO	DELL	1645			<null>		133838	877	RYAN	07/11/2024	47361	554	N
16750	Á DISPOSIÇÃO	D-LINK	1645			<null>		133838	877	RYAN	07/11/2024	47361	925	N
16751	Á DISPOSIÇÃO	EDGECORE	1645			<null>		133838	877	RYAN	07/11/2024	47361	552	N
16753	Á DISPOSIÇÃO	GIGABIT	1645			<null>		133838	877	RYAN	07/11/2024	47361	907	N
16812	Á DISPOSIÇÃO		1645			<null>		133838	877	RYAN	31/10/2024	47361	930	N
16813	Á DISPOSIÇÃO		1645			<null>		133838	877	RYAN	31/10/2024	47361	930	N
16814	Á DISPOSIÇÃO		1645			<null>		133838	877	RYAN	31/10/2024	47361	930	N
16815	Á DISPOSIÇÃO		1645			<null>		133838	877	RYAN	31/10/2024	47361	930	N
16816	Á DISPOSIÇÃO		1645			<null>		133838	877	RYAN	31/10/2024	47361	930	N
16817	Á DISPOSIÇÃO		1645			<null>		133838	877	RYAN	31/10/2024	47361	930	N
16819	Á DISPOSIÇÃO		1645			<null>		133838	877	RYAN	31/10/2024	47361	930	N
16822	Á DISPOSIÇÃO		1645			<null>		133838	877	RYAN	31/10/2024	47361	930	N
16823	Á DISPOSIÇÃO		1645			<null>		133838	877	RYAN	31/10/2024	47361	930	N
16824	Á DISPOSIÇÃO		1645			<null>		133838	877	RYAN	31/10/2024	47361	930	N
16825	Á DISPOSIÇÃO		1645			<null>		133838	877	RYAN	31/10/2024	47361	930	N
16826	Á DISPOSIÇÃO		1645			<null>		133838	877	RYAN	01/11/2024	47361	930	N
16827	Á DISPOSIÇÃO		1645			<null>		133838	877	RYAN	31/10/2024	47361	930	N
16828	Á DISPOSIÇÃO		1645			<null>		133838	877	RYAN	07/11/2024	47361	930	N
16832	Á DISPOSIÇÃO		1645			<null>		133838	877	RYAN	31/10/2024	47361	930	N
16834	Á DISPOSIÇÃO		1645			<null>		133838	877	RYAN	01/11/2024	47361	930	N
16835	Á DISPOSIÇÃO		1645			<null>		133838	877	RYAN	31/10/2024	47361	930	N
16839	Á DISPOSIÇÃO		1645			<null>		133838	877	RYAN	31/10/2024	47361	930	N
16841	Á DISPOSIÇÃO		1645			<null>		133838	877	RYAN	31/10/2024	47361	930	N
16844	Á DISPOSIÇÃO		1645			<null>		133838	877	RYAN	31/10/2024	47361	930	N
16847	Á DISPOSIÇÃO		1645			<null>		133838	877	RYAN	31/10/2024	47361	930	N
16848	Á DISPOSIÇÃO		1645			<null>		133838	877	RYAN	01/11/2024	47361	930	N
16850	Á DISPOSIÇÃO		1645			<null>		133838	877	RYAN	01/11/2024	47361	930	N
16851	Á DISPOSIÇÃO		1645			<null>		133838	877	RYAN	01/11/2024	47361	930	N
16852	Á DISPOSIÇÃO		1645			<null>		133838	877	RYAN	01/11/2024	47361	930	N
16853	Á DISPOSIÇÃO		1645			<null>		133838	877	RYAN	01/11/2024	47361	930	N
16855	Á DISPOSIÇÃO		1645			<null>		133838	877	RYAN	01/11/2024	47361	930	N
16856	Á DISPOSIÇÃO		1645			<null>		133838	877	RYAN	01/11/2024	47361	930	N
16857	Á DISPOSIÇÃO		1645			<null>		133838	877	RYAN	01/11/2024	47361	930	N
16858	Á DISPOSIÇÃO		1645			<null>		133838	877	RYAN	01/11/2024	47361	930	N
16859	Á DISPOSIÇÃO		1645			<null>		133838	877	RYAN	01/11/2024	47361	930	N
16860	Á DISPOSIÇÃO		1645			<null>		133838	877	RYAN	01/11/2024	47361	930	N
16861	Á DISPOSIÇÃO		1645			<null>		133838	877	RYAN	01/11/2024	47361	930	N
16871	Á DISPOSIÇÃO		1645			<null>		133838	877	RYAN	07/11/2024	47361	934	N
16873	Á DISPOSIÇÃO		1645			<null>		133838	877	RYAN	07/11/2024	47361	390	N
16876	Á DISPOSIÇÃO		1645			<null>		133838	877	RYAN	07/11/2024	47361	390	N
16877	Á DISPOSIÇÃO		1645			<null>		133838	877	RYAN	07/11/2024	47361	390	N
16878	Á DISPOSIÇÃO		1645			<null>		133838	877	RYAN	07/11/2024	47361	390	N
16879	Á DISPOSIÇÃO		1645			<null>		133838	877	RYAN	07/11/2024	47361	390	N
16901	Á DISPOSIÇÃO		1645			<null>		133838	877	RYAN	31/10/2024	47361	930	N
16920	Á DISPOSIÇÃO		1645			<null>		133838	877	RYAN	07/11/2024	47361	390	N
16921	Á DISPOSIÇÃO	DELL	1645			<null>		133838	877	RYAN	07/11/2024	47361	554	N
16938	Á DISPOSIÇÃO	INTELBRAS	1645			<null>		133838	877	RYAN	07/11/2024	47361	485	N
16961	Á DISPOSIÇÃO		1645			<null>		133838	877	RYAN	29/10/2024	45523	390	N
16964	Á DISPOSIÇÃO		1645			<null>		133838	877	RYAN	07/11/2024	47361	390	N
16970	Á DISPOSIÇÃO		1645			<null>		133838	877	RYAN	07/11/2024	47361	390	N
16975	Á DISPOSIÇÃO		1645			<null>		133838	877	RYAN	07/11/2024	47361	389	N
16981	Á DISPOSIÇÃO		1645			<null>		133838	877	RYAN	07/11/2024	47361	390	N
16983	Á DISPOSIÇÃO		1645			<null>		133838	877	RYAN	07/11/2024	47361	934	N
16985	Á DISPOSIÇÃO		1645			<null>		133838	877	RYAN	07/11/2024	47361	474	N
16988	Á DISPOSIÇÃO		1645			<null>		133838	877	RYAN	07/11/2024	45523	390	N
16993	Á DISPOSIÇÃO		1645			<null>		133838	877	RYAN	07/11/2024	47361	390	N
16995	Á DISPOSIÇÃO		1645			<null>		133838	877	RYAN	07/11/2024	47361	390	N
16996	Á DISPOSIÇÃO		1645			<null>		133838	877	RYAN	07/11/2024	47361	390	N
16997	Á DISPOSIÇÃO		1645			<null>		133838	877	RYAN	07/11/2024	47361	390	N
16998	Á DISPOSIÇÃO		1645			<null>		133838	877	RYAN	07/11/2024	47361	474	N
17005	Á DISPOSIÇÃO		1645			<null>		133838	877	RYAN	07/11/2024	47361	390	N
17006	Á DISPOSIÇÃO		1645			<null>		133838	877	RYAN	07/11/2024	47361	390	N
17017	Á DISPOSIÇÃO		1645			<null>		133838	877	RYAN	07/11/2024	47361	933	N
17066	Á DISPOSIÇÃO		1434			<null>		133838	750	RYAN	08/11/2024	47361	933	N
17067	Á DISPOSIÇÃO		1645			<null>		133838	877	RYAN	07/11/2024	47361	934	N
17068	Á DISPOSIÇÃO		1645			<null>		133838	877	RYAN	07/11/2024	47361	933	N
17072	Á DISPOSIÇÃO		1645			<null>		133838	877	RYAN	07/11/2024	47361	933	N
17073	Á DISPOSIÇÃO		1645			<null>		133838	877	RYAN	07/11/2024	47361	933	N
17074	Á DISPOSIÇÃO		1434			<null>		133838	750	RYAN	08/11/2024	47361	933	N
17075	Á DISPOSIÇÃO		1645			<null>		133838	877	RYAN	07/11/2024	47361	933	N
17077	Á DISPOSIÇÃO		1434			<null>		133838	750	RYAN	08/11/2024	47361	933	N
17078	Á DISPOSIÇÃO		1645			<null>		133838	877	RYAN	07/11/2024	47361	933	N
17079	Á DISPOSIÇÃO		1434			<null>		133838	750	RYAN	08/11/2024	47361	933	N
17081	Á DISPOSIÇÃO		1434			<null>		133838	750	RYAN	08/11/2024	47361	933	N
17083	Á DISPOSIÇÃO		1645			<null>		133838	877	RYAN	07/11/2024	47361	933	N
